,U_DPTO,U_MPIO,DomesticViolenceCases,Population,Municipio,Departamento,CasesPer1000Habitants
228,15,248,13,2597.0,El espino,Boyaca,5.005775895263765
229,15,272,63,6523.0,Firavitoba,Boyaca,9.658132760999539
230,15,276,33,3184.0,Floresta,Boyaca,10.364321608040202
231,15,293,63,2744.0,Gachantiva,Boyaca,22.95918367346939
232,15,296,83,4395.0,Gameza,Boyaca,18.88509670079636
233,15,299,288,13977.0,Garagoa,Boyaca,20.6052801030264
234,15,317,12,1764.0,Guacamayas,Boyaca,6.802721088435374
235,15,322,286,8025.0,Guateque,Boyaca,35.638629283489095
236,15,325,41,3089.0,Guayata,Boyaca,13.272903852379411
237,15,332,34,3920.0,Guican,Boyaca,8.673469387755102
238,15,362,27,1944.0,Iza,Boyaca,13.888888888888888
239,15,367,103,6308.0,Jenesano,Boyaca,16.328471781864298
240,15,368,23,3540.0,Jerico,Boyaca,6.497175141242938
241,15,377,44,3075.0,Labranzagrande,Boyaca,14.308943089430894
242,15,380,39,2284.0,La capilla,Boyaca,17.075306479859893
243,15,401,7,956.0,La victoria,Boyaca,7.322175732217573
244,15,403,20,2774.0,La uvita,Boyaca,7.209805335255948
245,15,407,433,14267.0,Villa de leiva,Boyaca,30.34975818322002
246,15,425,18,3516.0,Macanal,Boyaca,5.1194539249146755
247,15,442,84,5354.0,Maripi,Boyaca,15.689204333208817
248,15,455,302,8199.0,Miraflores,Boyaca,36.83376021466032
249,15,464,20,4300.0,Mongua,Boyaca,4.651162790697675
250,15,466,45,3895.0,Mongui,Boyaca,11.553273427471117
251,15,469,523,20667.0,Moniquira,Boyaca,25.30604345091208
252,15,476,114,5226.0,Motavita,Boyaca,21.814006888633752
253,15,480,198,7961.0,Muzo,Boyaca,24.871247330737344
254,15,491,259,14651.0,Nobsa,Boyaca,17.677974199713333
255,15,494,132,5008.0,Nuevo colon,Boyaca,26.357827476038338
256,15,500,71,2797.0,Oicata,Boyaca,25.38434036467644
257,15,507,129,6989.0,Otanche,Boyaca,18.457576191157536
